Id	rnase0	rnase1	rnase2	rnase3	rnase4	rnase5
Micalcl	0	0	2	0	1	0
Dclk1	29	211	1914	1834	2211	1981
Nlrp5	0	0	0	0	0	0
Grhl1	3	11	110	87	117	127
Csl	0	0	4	5	0	0
Spata32	0	0	1	1	1	1
Olfml2a	1	0	10	3	7	5
Slc5a1	0	0	1	3	4	1
Olfr684	0	0	0	0	0	0
Lgals7	0	0	0	2	0	1
Ankrd52	6	33	280	207	185	190
Srxn1	3	18	163	69	50	69
BC048644	0	0	0	0	0	0
Tspyl4	35	370	2850	2443	2911	2731
Zfp825	2	3	23	24	20	26
Banp	2	10	61	36	55	34
Vcpip1	20	64	503	475	623	612
Slc30a4	2	15	80	74	91	77
Pdcd4	16	39	490	585	780	774
Emc1	21	79	804	834	880	798
Ammecr1	5	0	13	7	5	4
Zmiz1	8	81	510	269	319	236
Trim8	4	52	241	115	129	90
Ptpn5	8	50	287	218	183	204
Usp33	18	72	727	644	714	747
Htr7	0	5	32	15	10	11
Doc2b	8	43	245	167	193	120
Scn4a	0	0	1	0	0	0
Slc25a32	0	3	46	32	30	41
Trpc7	1	3	28	22	35	16
Rbms3	4	7	38	44	37	36
Trpv5	0	0	0	0	0	0
Adam22	12	72	546	543	669	697
Cxcr4	2	3	56	44	35	27
Rfx8	0	0	2	0	0	0
Tbp	6	7	114	76	85	62
Stmnd1	0	0	0	1	0	2
Cited4	1	2	16	13	9	9
Unc79	5	29	174	139	158	141
E330034G19Rik	0	0	0	0	0	1
Slc36a3	0	0	0	0	0	0
Ska2	1	1	21	22	33	31
Lbh	0	7	86	100	91	90
Alg5	4	8	73	79	78	73
Pcdh7	7	51	545	411	485	465
Nrp2	6	65	483	357	400	344
Trim60	0	0	0	0	0	0
Kcns2	1	19	86	67	65	59
Gpr18	0	0	0	0	0	0
Mrps23	4	15	92	100	131	129
Ccnt1	3	24	136	102	117	134
Gm11487	0	0	0	0	0	0
Crp	0	0	0	0	0	0
Tmem50a	9	66	642	496	522	482
Olfr1446	0	0	0	0	0	0
Gm10057	0	0	0	0	0	0
Ndufa6	10	63	503	510	596	545
Krtap9-3	0	0	0	0	0	0
Vmn1r54	0	0	0	0	0	0
Gbgt1	0	1	3	0	4	4
Azi2	10	16	75	62	90	96
Tmem2	2	5	62	62	49	51
Apitd1	0	0	5	4	6	5
Cox7a2l	13	24	215	187	263	205
Cnfn	0	0	2	0	0	0
Ube2cbp	0	3	6	6	3	5
Olfr1384	0	0	0	0	0	0
Lrrc66	0	0	0	0	0	0
Zfp637	2	10	42	53	74	60
Olfr66	0	0	0	0	0	0
Nr3c1	11	47	331	328	467	424
Glyctk	1	1	17	13	12	5
1110038F14Rik	0	5	24	35	22	24
Tmem199	1	14	155	163	186	168
Rnf121	2	23	129	102	101	89
Cenpi	0	0	4	0	1	3
Fam120a	13	90	449	313	347	280
Gpr141	0	0	0	1	2	0
Sav1	3	4	5	5	14	11
Abhd17a	13	48	177	92	85	71
Vmn1r181	0	0	0	0	0	0
Tmem176b	5	27	245	209	201	172
Ndufc2	15	58	541	738	979	978
Kpna2	6	22	204	220	239	264
Hoxa7	0	0	0	0	0	0
Cyp3a44	0	0	0	0	0	0
Swsap1	6	10	52	35	26	27
Impad1	15	46	393	321	289	274
Shroom1	0	8	32	20	14	18
Arid3b	0	3	11	3	4	5
Nrap	0	0	1	0	0	0
Ttll12	3	7	72	44	46	41
Col6a2	1	3	32	23	25	30
Sprr2a2	0	0	0	0	0	0
Ormdl2	2	5	46	30	31	25
Olfr143	0	0	0	0	0	0
Col13a1	0	0	2	3	5	2
Shank3	6	76	345	159	158	104
Nxnl1	0	0	0	1	0	1
Anapc2	12	65	541	416	464	408
Vmn1r81	0	0	0	0	0	0
Nefh	4	37	258	156	147	136
Gltpd2	0	0	1	0	0	1
Mfsd10	2	6	63	48	34	37
Ttc36	0	0	1	0	1	0
Cebpzos	3	4	47	54	67	68
Sbpl	0	0	0	0	0	0
Rpusd2	2	5	59	37	40	26
Rnf183	0	0	0	0	0	0
Myo9a	19	29	176	167	208	188
Plekhb1	19	80	747	544	516	360
Prdm4	2	8	34	36	39	30
Ccndbp1	7	23	220	203	220	255
